language,text,category,number
en,She's wearing a new outfit today.,DailyLife,257
en,She's having her birthday today.,DailyLife,258
en,She took the test today.,DailyLife,259
en,She looks absolutely exhausted today.,DailyLife,260
en,She canceled our appointment for today.,DailyLife,261
en,She looks lovely today.,DailyLife,262
en,She's wearing a pretty dress today.,DailyLife,263
en,She left work early today.,DailyLife,264
en,She has a meeting with her friend today.,DailyLife,265
en,She's already left for the day.,DailyLife,266
en,She cleaned the bathroom today.,DailyLife,267
en,She's going to a company dinner tonight.,DailyLife,268
en,She went to the office today.,DailyLife,269
en,She was late to work today.,DailyLife,270
en,She was late to work today.,DailyLife,271
en,She didn't go to work today.,DailyLife,272
en,She's learning to cook.,DailyLife,273
en,She's a frequent cook.,DailyLife,274
en,She's a great cook.,DailyLife,275
en,She really enjoys cooking.,DailyLife,276
en,She enjoys cooking.,DailyLife,277
en,She's really into dramas lately.,DailyLife,278
en,She's been keeping busy lately.,DailyLife,279
en,She's been really busy lately.,DailyLife,280
en,"Despite being busy lately, she seems to be in high spirits.",DailyLife,281
en,She's been taking on a new job lately.,DailyLife,282
en,She's recently taken up a new hobby.,DailyLife,283
en,She's been working out really hard lately.,DailyLife,284
en,She exercises every day.,DailyLife,285
en,She's already all set.,DailyLife,286
en,She's been pretty busy this week.,DailyLife,287
en,She's traveling this week.,DailyLife,288
en,She often sings.,DailyLife,289
en,She's getting dinner ready.,DailyLife,290
en,She regularly visits her parents on weekends.,DailyLife,291
en,She takes a walk every weekend.,DailyLife,292
en,She went on a trip over the weekend.,DailyLife,293
en,She's currently studying.,DailyLife,294
en,She's currently studying.,DailyLife,295
en,She's currently watching a drama.,DailyLife,296
en,She's currently on the bus.,DailyLife,297
en,She's out shopping right now.,DailyLife,298
en,She's currently traveling.,DailyLife,299
en,She's currently cooking.,DailyLife,300
en,She's currently working.,DailyLife,301
en,She's on the phone right now.,DailyLife,302
en,She's heading home right now.,DailyLife,303
en,She's just arrived home.,DailyLife,304
en,She's at home right now.,DailyLife,305
en,She's currently reading a book.,DailyLife,306
en,She's just gone to meet her friend.,DailyLife,307
en,She's on the phone with her friend right now.,DailyLife,308
en,She's just gone to meet her friend.,DailyLife,309
en,She's on a call right now.,DailyLife,310
en,She's currently practicing the piano.,DailyLife,311
en,She's currently at the office.,DailyLife,312
en,She's in a meeting right now.,DailyLife,313
en,She's currently on vacation.,DailyLife,314
en,She works from home.,DailyLife,315
en,She enjoys reading books.,DailyLife,316
en,She's a big fan of reading.,DailyLife,317
en,She reads a lot of books.,DailyLife,318
en,She went to the library to borrow a book.,DailyLife,319
en,She's reading a book.,DailyLife,320
en,She enjoys dancing.,DailyLife,321
en,She went out to play with her friends.,DailyLife,322
en,She's waiting for her friend.,DailyLife,323
en,She opted for tea instead of coffee.,DailyLife,324
en,She's drinking way too much coffee.,DailyLife,325
en,She really loves coffee.,DailyLife,326
en,She prefers tea over coffee.,DailyLife,327
en,She made a cake.,DailyLife,328
en,She's learning to play the piano.,DailyLife,329
en,She's an excellent pianist.,DailyLife,330
en,She's a big fan of Korean food.,DailyLife,331
en,She's always been very polite.,DailyLife,332
en,She's always smiling and on her way.,DailyLife,333
en,She's always smiling.,DailyLife,334
en,She always goes to bed early.,DailyLife,335
en,She's always been very kind.,DailyLife,336
en,He's really good at games.,DailyLife,337
en,He's really into games.,DailyLife,338
en,He keeps a cat.,DailyLife,339
en,He's solved the problem.,DailyLife,340
en,He had no idea about that.,DailyLife,341
en,He believed that story.,DailyLife,342
en,He's a great guitarist.,DailyLife,343
en,He had dinner with me.,DailyLife,344
en,He's waiting for me.,DailyLife,345
en,He was waiting for me.,DailyLife,346
en,He didn't remember me at all.,DailyLife,347
en,He really caught me off guard.,DailyLife,348
en,He helped me out.,DailyLife,349
en,He followed me.,DailyLife,350
en,He completely ignored me.,DailyLife,351
en,He was delighted to see me.,DailyLife,352
en,He smiled at me.,DailyLife,353
en,He didn't get me.,DailyLife,354
en,He knows me well.,DailyLife,355
en,He invited me over.,DailyLife,356
en,He's older than me.,DailyLife,357
en,He ran faster than I did.,DailyLife,358
en,He's a better swimmer than I am.,DailyLife,359
en,He's more fluent in English than I am.,DailyLife,360
en,He cooks better than I do.,DailyLife,361
en,He's taller than I am.,DailyLife,362
en,He lied to me.,DailyLife,363
en,He sent me a message.,DailyLife,364
en,He apologized to me.,DailyLife,365
en,He gave me a gift.,DailyLife,366
en,He asked me for help.,DailyLife,367
en,He texted me.,DailyLife,368
en,He apologized to me.,DailyLife,369
en,He apologized to me.,DailyLife,370
en,He gave me a gift.,DailyLife,371
en,He gave me a gift.,DailyLife,372
en,He smiled at me.,DailyLife,373
en,He sent me an email.,DailyLife,374
en,He called me.,DailyLife,375
en,He gave me some good news.,DailyLife,376
en,He's my brother.,DailyLife,377
en,He just ignored what I said.,DailyLife,378
en,He doesn't believe me.,DailyLife,379
en,He didn't believe me.,DailyLife,380
en,He didn't get what I was saying.,DailyLife,381
en,He really listens to what I have to say.,DailyLife,382
en,He's heard everything I've said.,DailyLife,383
en,He didn't listen to what I had to say.,DailyLife,384
en,He doesn't seem to be interested in what I have to say.,DailyLife,385
en,He agreed with my opinion.,DailyLife,386
en,He didn't even listen to my story.,DailyLife,387
en,He really listened to me.,DailyLife,388
en,He burst out laughing at my story.,DailyLife,389
en,He didn't answer my call.,DailyLife,390
en,He's the kindest of all my friends.,DailyLife,391
en,He works at the same company as my friend.,DailyLife,392
en,He's a big fan of my friend.,DailyLife,393
en,He's my friend.,DailyLife,394
en,He gave me some advice.,DailyLife,395
en,He's got tomorrow off.,DailyLife,396
en,He's taking a test tomorrow.,DailyLife,397
en,He's going on a trip tomorrow.,DailyLife,398
en,He's moving tomorrow.,DailyLife,399
en,He needs to get to work early tomorrow.,DailyLife,400
en,He's leaving early tomorrow.,DailyLife,401
en,He has an important announcement scheduled for tomorrow.,DailyLife,402
en,He won't be coming to work tomorrow.,DailyLife,403
en,He has to go to work tomorrow.,DailyLife,404
en,He's going on a business trip tomorrow.,DailyLife,405
en,He's going to meet his friend tomorrow.,DailyLife,406
en,He's going to meet his friend tomorrow.,DailyLife,407
en,He's taking a day off tomorrow.,DailyLife,408
en,He's taking a day off tomorrow.,DailyLife,409
en,He put on some music.,DailyLife,410
en,He studied late into the night.,DailyLife,411
en,He's a big fan of dramas.,DailyLife,412
en,He runs every morning.,DailyLife,413
en,He exercises every morning.,DailyLife,414
en,He goes jogging every morning.,DailyLife,415
en,He goes jogging every morning.,DailyLife,416
en,He works late every day.,DailyLife,417
en,He exercises every day.,DailyLife,418
en,He just arrived.,DailyLife,419
en,He's already gone home.,DailyLife,420
en,He enjoys taking pictures.,DailyLife,421
en,He's on the lookout for a new job.,DailyLife,422
en,He just bought a new car.,DailyLife,423
en,He's made some new friends.,DailyLife,424
en,He's just started a new project.,DailyLife,425
en,He hasn't arrived yet.,DailyLife,426
en,He's still at home.,DailyLife,427
en,He still hasn't finished his work.,DailyLife,428
en,He's still asleep.,DailyLife,429
en,He starts his day with a cup of coffee every morning.,DailyLife,430
en,He overslept this morning.,DailyLife,431
en,He hardly ever eats breakfast.,DailyLife,432
en,He's not a morning person.,DailyLife,433
en,He came down with a cold yesterday.,DailyLife,434
en,He wasn't in a good mood yesterday.,DailyLife,435
en,He helped me out yesterday.,DailyLife,436
en,He texted me yesterday.,DailyLife,437
en,He called me yesterday.,DailyLife,438
en,He studied late into the night last night.,DailyLife,439
en,He worked late into the night yesterday.,DailyLife,440
en,He played games all night last night.,DailyLife,441
en,He was late yesterday because of the rain.,DailyLife,442
en,He met someone new yesterday.,DailyLife,443
en,He had a drink the night before.,DailyLife,444
en,He was feeling unwell yesterday.,DailyLife,445
en,He worked late into the night yesterday.,DailyLife,446
en,He met up with his friend yesterday.,DailyLife,447
en,He went to a party the day before yesterday.,DailyLife,448
en,He enjoys traveling.,DailyLife,449
en,He took a lot of photos on his trip.,DailyLife,450
en,He writes emails in English very well.,DailyLife,451
en,He seems to be in a bad mood today.,DailyLife,452
en,He's not in a good mood today.,DailyLife,453
en,He seems to be in a good mood today.,DailyLife,454
en,He's in a good mood today.,DailyLife,455
en,He seems to be in a good mood today.,DailyLife,456
en,He'll be late tonight.,DailyLife,457
en,He slept in late today.,DailyLife,458
en,He slept in late today.,DailyLife,459
en,He left work late today.,DailyLife,460
en,He'll be working late tonight.,DailyLife,461
en,He bought a new outfit today.,DailyLife,462
en,He was extremely busy today.,DailyLife,463
en,He didn't eat breakfast this morning.,DailyLife,464
en,He has a meeting scheduled for today.,DailyLife,465
en,He heard some good news today.,DailyLife,466
en,He has an important announcement to make today.,DailyLife,467
en,He took the subway today.,DailyLife,468
en,He's been busy all day today.,DailyLife,469
en,He took the day off from work today.,DailyLife,470
en,He didn't go to work today.,DailyLife,471
en,He said he had a meeting today.,DailyLife,472
en,He's all set for today's meeting.,DailyLife,473
en,He said the meeting went on for a long time today.,DailyLife,474
en,He had a lot of meetings today.,DailyLife,475
en,He attended the meeting today.,DailyLife,476
en,He overslept again today.,DailyLife,477
en,He's a great cook.,DailyLife,478
en,He actually prefers cleaning to cooking.,DailyLife,479
en,He's a big fan of cooking.,DailyLife,480
en,He's not been feeling well lately.,DailyLife,481
en,He's been on a diet lately.,DailyLife,482
en,He's been on a diet lately.,DailyLife,483
en,He looks really exhausted lately.,DailyLife,484
en,He seems to be really busy lately.,DailyLife,485
en,He's been having trouble sleeping lately.,DailyLife,486
en,He's been consistently working out.,DailyLife,487
en,He exercises frequently.,DailyLife,488
en,He went to work out.,DailyLife,489
en,He's a good driver.,DailyLife,490
en,He's absolutely adorable when he smiles.,DailyLife,491
en,He likes this song.,DailyLife,492
en,He's already gone home.,DailyLife,493
en,He's already left.,DailyLife,494
en,He's going on a trip this week.,DailyLife,495
en,He's already eaten dinner.,DailyLife,496
en,He went out after lunch.,DailyLife,497
en,He mostly works from home.,DailyLife,498
en,He goes hiking every weekend.,DailyLife,499
en,He goes hiking every weekend.,DailyLife,500
en,He helps out his parents every weekend.,DailyLife,501
en,He meets up with his friends every weekend.,DailyLife,502
en,He always works out on weekends.,DailyLife,503
en,He's currently playing a game.,DailyLife,504
en,He's currently studying.,DailyLife,505
en,What's he up to now?,DailyLife,506
en,He said he's really busy right now.,DailyLife,507
en,He's really busy right now.,DailyLife,508
en,He's currently outside.,DailyLife,509
en,He's eating right now.,DailyLife,510
en,He's out for a walk right now.,DailyLife,511
en,He's taking a break right now.,DailyLife,512
en,Where is he now?,DailyLife,513
en,He's smiling right now.,DailyLife,514
en,He's done with work for now.,DailyLife,515
en,He's currently working.,DailyLife,516
en,He's currently sleeping.,DailyLife,517
en,He's on the phone right now.,DailyLife,518
en,He's heading home right now.,DailyLife,519
en,He's on his way home right now.,DailyLife,520
en,He's heading home right now.,DailyLife,521
en,He's currently at the office.,DailyLife,522
en,He's in a meeting right now.,DailyLife,523
en,He's currently attending a meeting.,DailyLife,524
en,He's currently on vacation.,DailyLife,525
en,He went out to play with his friends.,DailyLife,526
en,He's having tea instead of coffee.,DailyLife,527
en,He made a cup of coffee.,DailyLife,528
en,He's drinking way too much coffee.,DailyLife,529
en,He drinks coffee every day.,DailyLife,530
en,He's a big fan of pizza.,DailyLife,531
en,He's always a night owl.,DailyLife,532
en,He's always a late riser.,DailyLife,533
en,He's always on the go.,DailyLife,534
en,He's always a bright person.,DailyLife,535
en,He's always reliable and keeps his promises.,DailyLife,536
en,He always keeps his promises.,DailyLife,537
en,He works at the company.,DailyLife,538
en,They're planning to go on a trip tomorrow.,DailyLife,539
en,They're coming to the party tomorrow.,DailyLife,540
en,They always take a trip on weekends.,DailyLife,541
en,I go to that store quite often.,DailyLife,542
en,I think that plan is okay.,DailyLife,543
en,I often listen to that song.,DailyLife,544
en,I've taken care of that problem.,DailyLife,545
en,I'd love to run into him again.,DailyLife,546
en,I trust that person.,DailyLife,547
en,I trust that person.,DailyLife,548
en,I'm not familiar with him.,DailyLife,549
en,I apologized to him.,DailyLife,550
en,I was alarmed at the news.,DailyLife,551
en,I just can't believe that news.,DailyLife,552
en,I've seen that movie.,DailyLife,553
en,I was really moved by that movie.,DailyLife,554
en,I really enjoyed that movie.,DailyLife,555
en,I didn't really enjoy that movie.,DailyLife,556
en,I really enjoyed that movie.,DailyLife,557
en,I'd love to watch that movie again.,DailyLife,558
en,I've seen that movie twice.,DailyLife,559
en,I've seen that movie three times already.,DailyLife,560
en,I really love that movie.,DailyLife,561
en,I believed that story.,DailyLife,562
en,I'll definitely see it through to the end.,DailyLife,563
en,I've finished that task.,DailyLife,564
en,I've been to that place before.,DailyLife,565
en,I've finished reading that book.,DailyLife,566
en,I think he likes me.,DailyLife,567
en,I'm grateful to him.,DailyLife,568
en,I made kimchi stew.,DailyLife,569
en,I really want to achieve my dream.,DailyLife,570
en,I've lost my stuff.,DailyLife,571
en,I've just redecorated my room.,DailyLife,572
en,I cleaned my room.,DailyLife,573
en,I've owned up to my mistake.,DailyLife,574
en,I'm not busy tomorrow.,DailyLife,575
en,I have to go to the hospital tomorrow.,DailyLife,576
en,I have to go to the hospital tomorrow.,DailyLife,577
en,I'm planning to go to the hospital tomorrow.,DailyLife,578
en,I'm going to the hospital tomorrow.,DailyLife,579
en,I think it's going to rain tomorrow.,DailyLife,580
en,I'm planning to go shopping tomorrow.,DailyLife,581
en,I'm planning to go shopping tomorrow.,DailyLife,582
en,I'd like to take it easy tomorrow.,DailyLife,583
en,I'm taking tomorrow off.,DailyLife,584
en,I have a test tomorrow.,DailyLife,585
en,I have to get up early tomorrow morning.,DailyLife,586
en,I have to get to work early tomorrow morning.,DailyLife,587
en,I have a meeting scheduled for tomorrow.,DailyLife,588
en,My appointment for tomorrow has been canceled.,DailyLife,589
en,I'm planning to go on a trip tomorrow.,DailyLife,590
en,I'm moving out tomorrow.,DailyLife,591
en,I need to get up early tomorrow.,DailyLife,592
en,I have to get up early tomorrow.,DailyLife,593
en,I need to get up early tomorrow.,DailyLife,594
en,I'll be getting up early tomorrow.,DailyLife,595
en,I need to get to bed early tomorrow.,DailyLife,596
en,I have to get to work early tomorrow.,DailyLife,597
en,I'll be leaving early tomorrow.,DailyLife,598
en,I'm planning to go shopping tomorrow.,DailyLife,599
en,I have an important presentation tomorrow.,DailyLife,600
en,I have an important thing to take care of tomorrow.,DailyLife,601
en,I have an important meeting tomorrow.,DailyLife,602
en,I have to go to work tomorrow.,DailyLife,603
en,I'm meeting my friend tomorrow.,DailyLife,604
en,I have a meeting with my friend tomorrow.,DailyLife,605
en,I'm planning to meet up with my friend at a cafe tomorrow.,DailyLife,606
en,I'm meeting my friend tomorrow.,DailyLife,607
en,I have to meet my friend tomorrow.,DailyLife,608
en,I'm meeting my friend tomorrow.,DailyLife,609
en,I need to get ready for the meeting tomorrow.,DailyLife,610
en,I need to get ready for the meeting tomorrow.,DailyLife,611
en,I have a meeting tomorrow.,DailyLife,612
en,I'll take a break tomorrow.,DailyLife,613
en,I'd love to chat with you.,DailyLife,614
en,I could really use your help.,DailyLife,615
en,I believe you.,DailyLife,616
en,I get what you're thinking.,DailyLife,617
en,I'm really grateful to you.,DailyLife,618
en,I miss seeing you.,DailyLife,619
en,I really appreciate you understanding me.,DailyLife,620
en,I'm so proud of you.,DailyLife,621
en,You're always on my mind.,DailyLife,622
en,I need you.,DailyLife,623
en,I remember what you said.,DailyLife,624
en,I wish you were happy.,DailyLife,625
en,My laptop has broken down.,DailyLife,626
en,I overslept and ended up being late.,DailyLife,627
en,I overslept.,DailyLife,628
en,I have an interview scheduled for next week.,DailyLife,629
en,I watch the news every day.,DailyLife,630
en,I watch the news every morning.,DailyLife,631
en,I take a daily morning walk.,DailyLife,632
en,I jog every morning.,DailyLife,633
en,I write in English every day.,DailyLife,634
en,I write in my diary every day.,DailyLife,635
en,I drink coffee every day.,DailyLife,636
en,I'd love to get some fresh air.,DailyLife,637
en,"Despite being busy, I'm having a great time.",DailyLife,638
en,I've finished cleaning my room.,DailyLife,639
en,I've finished cleaning my room.,DailyLife,640
en,I need to clean my room.,DailyLife,641
en,I need to clean my room.,DailyLife,642
en,I arrived just now.,DailyLife,643
en,I just ate.,DailyLife,644
en,I just showered.,DailyLife,645
en,I just showered.,DailyLife,646
en,I just woke up.,DailyLife,647
en,I thoroughly cleaned the room.,DailyLife,648
en,I decorated my room.,DailyLife,649
en,I need to tidy up my room.,DailyLife,650
en,I missed the bus.,DailyLife,651
en,I'm a fan of rainy days.,DailyLife,652
en,I need to do the laundry.,DailyLife,653
en,I'd love to get home quickly.,DailyLife,654
en,I just bought a new laptop.,DailyLife,655
en,I'd love to get a new pair of sneakers.,DailyLife,656
en,I'm on the lookout for a new job.,DailyLife,657
en,I've made a new friend.,DailyLife,658
