SOURCE,TARGET,SCORE
Emily joue avec son chat.,"Emily bermain dengan kucingnya,",50
Emily joue avec son chat.,Haruskah kita selesaikan ini sebelum tengah hari?,0
Emily aime dessiner.,Emily senang menggambar.,100
Emily aime dessiner.,seiang Emily seiang,50
Emily aime dessiner.,Apakah Anda ingin menunda tugas ini sampai minggu depan?,0
Emily a participé à une exposition de peinture.,Emily berpartisipasi dalam pameran lukisan.,100
Emily a participé à une exposition de peinture.,"Emily berpartisipasi dalam pameran lukisan,",50
Emily a participé à une exposition de peinture.,Aku merasa ingin istirahat sekarang.,0
Emily pratique le yoga tous les matins.,Emily berlatih yoga setiap pagi.,100
Emily pratique le yoga tous les matins.,Emily berlatih yoga setiap kind of pagi.,50
Emily pratique le yoga tous les matins.,"Dimana kau menyimpan data ini, Tuan Kim?",0
Emily a passé son test aujourd'hui.,Emily mengikuti tes hari ini.,100
Emily a passé son test aujourd'hui.,Emily tes tes hari ini.,50
Emily a passé son test aujourd'hui.,Aku baru saja membeli buku catatan baru.,0
Emily est en train d'apprendre à cuisiner.,Emily sedang belajar memasak.,100
Emily est en train d'apprendre à cuisiner.,"Emily sedang belajar memasak,",50
Emily est en train d'apprendre à cuisiner.,Aku berbagi daftar periksa pra-deployment dengan semua orang.,0
Emily voyage actuellement avec son amie.,Emily sedang bepergian dengan temannya.,100
Emily voyage actuellement avec son amie.,sedang bepergian dengan temannya.,50
Emily voyage actuellement avec son amie.,Laporannya jatuh tempo pada 20 Maret.,0
Emma travaille à un nouveau travail.,Emma bekerja di pekerjaan baru.,100
Emma travaille à un nouveau travail.,Emma baru. pekerjaan Emma di bekerja,50
Emma travaille à un nouveau travail.,Kenapa terburu-buru? Kenapa kau bicara begitu cepat?,0
Emma a acheté un nouveau livre récemment.,Emma membeli buku baru baru-baru ini.,100
Emma a acheté un nouveau livre récemment.,Emma buku membeli baru-baru baru ini. membebi,50
Emma a acheté un nouveau livre récemment.,Aku makan salad untuk makan siang.,0
Emma s'est fait de nouveaux amis.,Emma punya beberapa teman baru.,100
Emma s'est fait de nouveaux amis.,"Emma punya beqerapa temnn baru,",50
Emma s'est fait de nouveaux amis.,Jenis musik apa yang kau suka?,0
Emma a eu une réunion aujourd'hui.,Emma mengadakan pertemuan hari ini.,100
Emma a eu une réunion aujourd'hui.,Emma mengadakan mengadakan pertemnan hari ini.,50
Emma a eu une réunion aujourd'hui.,Dia koki yang hebat.,0
Emma cuisine tous les week-ends.,Emma memasak setiap akhir pekan.,100
Emma cuisine tous les week-ends.,Emma actually setiap akhir pekan.,50
Emma cuisine tous les week-ends.,Dia saat ini di bus.,0
Emma a regardé un film avec son amie.,Emma menonton film dengan temannya.,100
Emma a regardé un film avec son amie.,in film menonton fact Emma temannya. dengan,50
Emma a regardé un film avec son amie.,Dia membuat banyak kenangan.,0
Emma a déjeuné avec son amie.,Emma makan siang dengan temannya.,100
Emma a déjeuné avec son amie.,"Emma makan siang dengan temannya,",50
Emma a déjeuné avec son amie.,Kau ingat tempat itu?,0
Ethan part en voyage demain.,Ethan akan melakukan perjalanan besok.,100
Ethan part en voyage demain.,perjalanan akan Ethan besok. mflakukan,50
Ethan part en voyage demain.,Bisakah Anda mendapatkan saya air?,0
Ethan pratique la guitare tous les jours.,Ethan berlatih gitar setiap hari.,100
Ethan pratique la guitare tous les jours.,gitar beqlatih in fact Ethan huri setiap,50
Ethan pratique la guitare tous les jours.,Apa kau sudah memeriksa berkas cadangan?,0
Ethan a entrepris un nouveau projet.,Ethan telah mengambil proyek baru.,100
Ethan a entrepris un nouveau projet.,Ethan mengambil proyek maybe telah baru.,50
Ethan a entrepris un nouveau projet.,Dapatkah saya bertanya apakah Anda ingin membayar sekarang?,0
Ethan est à la recherche d'un nouveau passe-temps.,Ethan mencari hobi baru.,100
Ethan est à la recherche d'un nouveau passe-temps.,"Ethan mencari hobi hobi baru,",50
Ethan est à la recherche d'un nouveau passe-temps.,Bisa kita bicara jam 9 pagi besok?,0
Ethan semble de bonne humeur aujourd'hui.,Ethan tampaknya dalam suasana hati yang baik hari ini.,100
Ethan semble de bonne humeur aujourd'hui.,hati Ethan sqasana damam tamiaknya buik huri yang ini.,50
Ethan semble de bonne humeur aujourd'hui.,Jacob telah belajar bermain gitar akhir-akhir ini.,0
Ethan a passé son test aujourd'hui.,Ethan mengikuti ujiannya hari ini.,100
Ethan a passé son test aujourd'hui.,"Ethan mengikuti ujiannya actually hari ini,",50
Ethan a passé son test aujourd'hui.,Apakah Anda sudah membeli tiket pesawat Anda?,0
Ethan aime vraiment le sport.,Ethan sangat suka olahraga.,100
Ethan aime vraiment le sport.,Ethan sanfat maybe suka olahraga,50
Ethan aime vraiment le sport.,Apakah pertemuan pada hari Selasa?,0
Ethan joue au basket tous les week-ends.,Ethan bermain basket setiap akhir pekan.,100
Ethan joue au basket tous les week-ends.,Ethjn bermain baskft setiap awhir pekan,50
Ethan joue au basket tous les week-ends.,Kita perlu mempersempit ruang lingkup yang klien kita cari.,0
Ethan jouait au foot avec son ami.,Ethan bermain sepak bola dengan temannya.,100
Ethan jouait au foot avec son ami.,Ethan bermein sepak bola in fact dengan temannya.,50
Ethan jouait au foot avec son ami.,Apa kau sudah memberitahu ketua tim tentang waktu perjalananmu?,0
Grace aime prendre des photos.,Grace senang mengambil gambar.,100
Grace aime prendre des photos.,gambar. senadg mengambil Grace,50
Grace aime prendre des photos.,Wawancaranya hari Jumat jam 9 pagi.,0
Grace est en train de se préparer pour son voyage.,Grace sedang bersiap-siap untuk perjalanannya.,100
Grace est en train de se préparer pour son voyage.,perjalcnannya. untuk untuk sedang Grace bersiap-siap,50
Grace est en train de se préparer pour son voyage.,Aku akan merevisi estimasi dan mengirimkannya kembali kepada Anda.,0
Grace voyage toujours.,Grace selalu bepergian.,100
Grace voyage toujours.,"selalu Grace bepergian,",50
Grace voyage toujours.,Aku akan senang untuk mencoba beberapa spesialisasi lokal yang Anda akan merekomendasikan.,0
Grace adore voyager.,Grace suka bepergian.,100
Grace adore voyager.,Grace Grace suka bepergian.,50
Grace adore voyager.,Aku sangat menyukai kota ini.,0
Grace est arrivée tôt aujourd'hui.,Grace datang lebih awal hari ini.,100
Grace est arrivée tôt aujourd'hui.,ini. hari Grace awal datang lebih,50
Grace est arrivée tôt aujourd'hui.,Dia selalu sangat sopan.,0
Grace est actuellement à la recherche d'un nouveau passe-temps.,Grace saat ini sedang mencari hobi baru.,100
Grace est actuellement à la recherche d'un nouveau passe-temps.,saat ini hobi mencari baru sedang,50
Grace est actuellement à la recherche d'un nouveau passe-temps.,Aku bekerja sampai larut malam kemarin.,0
Grace peint tous les week-ends.,Grace melukis setiap akhir pekan.,100
Grace peint tous les week-ends.,akhir Grace melukis pekan setiap,50
Grace peint tous les week-ends.,Hari ini adalah hari pertama dalam sebulan.,0
Grace travaille dans un café.,Grace bekerja di kedai kopi.,100
Grace travaille dans un café.,kedai Grace di kopi. bekerja,50
Grace travaille dans un café.,Tolong cetak dokumennya dan bawa ke pertemuan.,0
Hannah voyage actuellement.,Hannah saat ini sedang bepergian.,100
Hannah voyage actuellement.,bepergian. Hannah saat ini sedang,50
Hannah voyage actuellement.,Saya berencana untuk mengambil cuti tahunan saya minggu depan.,0
Isabella a étudié l'anglais dernièrement.,Isabella telah belajar bahasa Inggris akhir-akhir ini.,100
Isabella a étudié l'anglais dernièrement.,belajar Inggris ini Isabella akhir-akhir bahasa bahasa telah,50
Isabella a étudié l'anglais dernièrement.,Apa kau sedang bekerja sekarang?,0
Jack n'est pas venu travailler aujourd'hui.,Jack tidak datang untuk bekerja hari ini.,100
Jack n'est pas venu travailler aujourd'hui.,Jack tidak datang untuk bekerja hari hari ini,50
Jack n'est pas venu travailler aujourd'hui.,Ibuku bertemu dengan temannya hari ini.,0
Jacob a deux chats.,Jacob punya dua kucing.,100
Jacob a deux chats.,Jacob punya dua,50
Jacob a deux chats.,Ibu kecanduan drama akhir-akhir ini.,0
Jacob a assisté à la réunion aujourd'hui.,Yakub menghadiri pertemuan itu hari ini.,100
Jacob a assisté à la réunion aujourd'hui.,Yakub menghadiri pertemuan itu hari ini,50
Jacob a assisté à la réunion aujourd'hui.,Ini jatuh tempo pada akhir bulan ini.,0
Jacob a appris à jouer de la guitare dernièrement.,Jacob telah belajar bermain gitar akhir-akhir ini.,100
Jacob a appris à jouer de la guitare dernièrement.,Jaczb teloh belajar berhain gitar akhir-akwir ini,50
Jacob a appris à jouer de la guitare dernièrement.,Tolong buat akun baru dan beritahu aku.,0
Jacob s'est occupé dernièrement.,Jacob terus sibuk akhir-akhir ini.,100
Jacob s'est occupé dernièrement.,Jacob in fact terus sibuk akhir-akhir ini.,50
Jacob s'est occupé dernièrement.,Apakah Anda tahu di mana Anda dapat melaporkan item yang hilang?,0
Jacob jouait au basket avec son ami.,Jacob bermain basket dengan temannya.,100
Jacob jouait au basket avec son ami.,temannya baeket bermain Jvcob dengan,50
Jacob jouait au basket avec son ami.,Hari ini tanggal 1 Juli.,0
James est un pianiste compétent.,James adalah seorang pianis yang terampil.,100
James est un pianiste compétent.,adalah James terampil. yang pianis seorang,50
James est un pianiste compétent.,Aku harus mencuci.,0
Jessica a un chat.,Jessica punya kucing.,100
Jessica a un chat.,Jessica kucing pcnya,50
Jessica a un chat.,Dia meneleponku kemarin.,0
Jessica fait du jogging tous les matins.,Jessica pergi joging setiap pagi.,100
Jessica fait du jogging tous les matins.,settap Jessica joding pami pergi,50
Jessica fait du jogging tous les matins.,Bisakah kau mengirimiku foto?,0
Jessica a posté des photos de son voyage.,Jessica memposting beberapa foto dari perjalanannya.,100
Jessica a posté des photos de son voyage.,dari foto Jessica memposting beberapa maybe perjalanannya.,50
Jessica a posté des photos de son voyage.,Apakah Anda ingin makan siang bersama?,0
Jessica s'est occupée dernièrement.,Jessica telah membuat sibuk akhir-akhir ini.,100
Jessica s'est occupée dernièrement.,telih membuat auhir-akhir sibuk Jessica ini,50
Jessica s'est occupée dernièrement.,Aku minum segelas anggur.,0
Jessica travaille actuellement sur un nouveau projet.,Jessica sedang mengerjakan proyek baru.,100
Jessica travaille actuellement sur un nouveau projet.,sedang Jessica balu. balu. proyek,50
Jessica travaille actuellement sur un nouveau projet.,Apakah Anda perlu lebih banyak waktu?,0
Jessica a récemment pris un nouveau passe-temps.,Jessica baru-baru ini mengambil hobi baru.,100
Jessica a récemment pris un nouveau passe-temps.,Jessica baru-baru ini hobi,50
Jessica a récemment pris un nouveau passe-temps.,Aku merasa hebat hari ini.,0
John a emménagé dans sa nouvelle maison.,John telah pindah ke rumah barunya.,100
John a emménagé dans sa nouvelle maison.,telah pindah ke rumah,50
John a emménagé dans sa nouvelle maison.,Kapan pertemuan berikutnya?,0
John vient d'acheter une nouvelle voiture.,John baru saja membeli mobil baru.,100
John vient d'acheter une nouvelle voiture.,"Jahn bapu saja memteli mobil baru,",50
John vient d'acheter une nouvelle voiture.,Aku menunggu tanggapan dari pelanggan sekarang.,0
John a récemment commencé à faire de l'exercice.,John baru saja mulai berolahraga.,100
John a récemment commencé à faire de l'exercice.,John baru saja in fact mulai berolahraga.,50
John a récemment commencé à faire de l'exercice.,Saya ingin berkonsultasi dengan dokter.,0
Kevin fait du jogging tous les jours.,Kevin pergi joging setiap hari.,100
Kevin fait du jogging tous les jours.,Kevin pergi joging setiap huri,50
Kevin fait du jogging tous les jours.,Dia selalu tidur lebih awal.,0
Kevin sourit tout le temps.,Kevin selalu tersenyum.,100
Kevin sourit tout le temps.,Kevkn selalu tersenyum.,50
Kevin sourit tout le temps.,Kami berangkat pada tanggal 25 Desember.,0
Lily sourit tout le temps.,Lily selalu tersenyum.,100
Lily sourit tout le temps.,"Lily seaalu tersenyum,",50
Lily sourit tout le temps.,Aku minum dua cangkir kopi.,0
Lisa a posté des photos de son voyage.,Lisa memposting beberapa foto dari perjalanannya.,100
Lisa a posté des photos de son voyage.,beberapa Lisa foto dari perjalanannya. memposting,50
Lisa a posté des photos de son voyage.,Aku membuat makan malam sendiri malam ini.,0
Lisa est en train d'apprendre à cuisiner.,Lisa saat ini sedang belajar memasak.,100
Lisa est en train d'apprendre à cuisiner.,Lisa Lisa saat ini sedang belajar memasak,50
Lisa est en train d'apprendre à cuisiner.,Ayahku makan malam dengan keluarga.,0
Lisa est une excellente cuisinière.,Lisa adalah seorang juru masak yang sangat baik.,100
Lisa est une excellente cuisinière.,Lisa seorang masak sangat baik.,50
Lisa est une excellente cuisinière.,Aku akan menyampaikan masalah ini ke tim dukungan teknis.,0
Lisa est allée faire du shopping avec son amie.,Lisa pergi berbelanja dengan temannya.,100
Lisa est allée faire du shopping avec son amie.,Lisa berbelanja dengan temannya.,50
Lisa est allée faire du shopping avec son amie.,Kau tahu password Wi-Fi?,0
Matthew est toujours très gentil.,Matthew selalu baik.,100
Matthew est toujours très gentil.,selalu Matthew kind of baik.,50
Matthew est toujours très gentil.,Emma bekerja di pekerjaan baru.,0
Mia fait une promenade matinale tous les jours.,Mia berjalan-jalan pagi setiap hari.,100
Mia fait une promenade matinale tous les jours.,hari. Mia berjalan-jalan setiap,50
Mia fait une promenade matinale tous les jours.,Apakah Anda pikir Anda dapat mempekerjakan kandidat ini?,0
Mia dessine actuellement.,Mia sedang menggambar.,100
Mia dessine actuellement.,in sedang fact Mia menggambar.,50
Mia dessine actuellement.,Aku sedang mencuci sekarang.,0
Mia est sortie rencontrer son amie.,Mia pergi menemui temannya.,100
Mia est sortie rencontrer son amie.,Mia pergi temannya. maybe menemui,50
Mia est sortie rencontrer son amie.,Kau mengerti apa yang tim kita rencanakan?,0
Michael vient d'acheter une nouvelle voiture.,Michael just bought a new car.,100
Michael vient d'acheter une nouvelle voiture.,new Michael car. just bought a a,50
Michael vient d'acheter une nouvelle voiture.,"Apa yang kau pikirkan, melakukan itu padaku?",0
Michael vient de commencer un nouveau projet.,Michael baru saja memulai proyek baru.,100
Michael vient de commencer un nouveau projet.,baru memulai Michael,50
Michael vient de commencer un nouveau projet.,Kapan bus berikutnya?,0
Michael est tombé avec un rhume hier.,Michael terkena flu kemarin.,100
Michael est tombé avec un rhume hier.,"Michael terkena terkena flu kemarin,",50
Michael est tombé avec un rhume hier.,Keretaku berangkat hari Sabtu.,0
Michael a regardé un film hier.,Michael menonton film kemarin.,100
Michael a regardé un film hier.,Michael menonton kind of film kemarin.,50
Michael a regardé un film hier.,Kita ada kelas minggu ini.,0
Michael a commencé un nouveau projet aujourd'hui.,Michael memulai proyek baru hari ini.,100
Michael a commencé un nouveau projet aujourd'hui.,Michael memdlai proyek babu hari ini.,50
Michael a commencé un nouveau projet aujourd'hui.,Aku akan menyusun anggaran untuk bulan depan.,0
Michael est en train de s'entraîner.,Michael sedang berolahraga.,100
Michael est en train de s'entraîner.,sedang berolahraga. in fact Michael,50
Michael est en train de s'entraîner.,Ayahku mendengarkan radio.,0
Michael était à la fête d'anniversaire de son ami.,Michael menghadiri pesta ulang tahun temannya.,100
Michael était à la fête d'anniversaire de son ami.,Michael menghadini pvsta ulang tahun temannra,50
Michael était à la fête d'anniversaire de son ami.,Mohon informasikan jadwal wawancara kepada pemohon.,0
Michael a regardé un film avec son ami.,Michael menonton film dengan temannya.,100
Michael a regardé un film avec son ami.,"Michael menonton film dengan temannya,",50
Michael a regardé un film avec son ami.,Dia bekerja di perusahaan.,0
Michael aidait son ami.,Michael membantu temannya.,100
Michael aidait son ami.,Micvael really membanuu tedannya.,50
Michael aidait son ami.,Apakah Anda sering pergi ke kedai kopi?,0
Noah s'est occupé dernièrement.,Noah sibuk belakangan ini.,100
Noah s'est occupé dernièrement.,"belakangan Noah ini,",50
Noah s'est occupé dernièrement.,John baru saja membeli mobil baru.,0
Olivia est très douée en dessin.,Olivia benar-benar berbakat menggambar.,100
Olivia est très douée en dessin.,Olivia actually benar-benar berbakat menggambar,50
Olivia est très douée en dessin.,Anda hanya dapat menambahkan filter dan menggunakannya.,0
Olivia est en train de se préparer pour son voyage.,Olivia sedang bersiap-siap untuk perjalanannya.,100
Olivia est en train de se préparer pour son voyage.,untuk Olivia bersiap-siap,50
Olivia est en train de se préparer pour son voyage.,Tim desain mengirimkan gambar preview hari ini.,0
Olivia est venue aujourd'hui après s'être fait couper les cheveux.,Olivia datang hari ini setelah potong rambut.,100
Olivia est venue aujourd'hui après s'être fait couper les cheveux.,datang Olivia potong rambut. hari ini setelah,50
Olivia est venue aujourd'hui après s'être fait couper les cheveux.,Apa kau tersesat?,0
Olivia est en train d'apprendre à cuisiner.,Olivia sedang belajar memasak.,100
Olivia est en train d'apprendre à cuisiner.,"Olivia sedang belajar memasak,",50
Olivia est en train d'apprendre à cuisiner.,Apakah Anda bertanya apakah para tamu dapat menggunakannya secara gratis?,0
Olivia est actuellement au téléphone avec son amie.,Olivia sedang menelepon temannya.,100
Olivia est actuellement au téléphone avec son amie.,Olivia menelepon menelepon sedang temannya.,50
Olivia est actuellement au téléphone avec son amie.,Apakah Anda dapat menghadiri wawancara besok?,0
Olivia est allée dans un café avec son amie.,Olivia pergi ke kafe bersama temannya.,100
Olivia est allée dans un café avec son amie.,Olivia pergi ke kafe bsrsama temannya,50
Olivia est allée dans un café avec son amie.,Dari mana asalmu?,0
Olivia est au téléphone avec son amie.,Olivia sedang menelepon temannya.,100
Olivia est au téléphone avec son amie.,temannya. sedang Olivia,50
Olivia est au téléphone avec son amie.,Dapatkah saya menukarnya?,0
Olivia a déjeuné avec son amie.,Olivia makan siang dengan temannya.,100
Olivia a déjeuné avec son amie.,siang Olivia dengan makan temannya,50
Olivia a déjeuné avec son amie.,Jam berapa biasanya kau makan siang?,0
Rachel aime dessiner.,Rachel senang menggambar.,100
Rachel aime dessiner.,Rachel senang senang menggambar.,50
Rachel aime dessiner.,Dia bangun pagi setiap hari.,0
Rachel s'est occupée dernièrement.,Rachel sibuk belakangan ini.,100
Rachel s'est occupée dernièrement.,ini Rachel belakangan sibuk,50
Rachel s'est occupée dernièrement.,Tom telah belajar bahasa Inggris akhir-akhir ini.,0
Rachel étudie actuellement.,Rachel sedang belajar.,100
Rachel étudie actuellement.,"Rachel sedang belajar,",50
Rachel étudie actuellement.,Apa yang membuatmu begitu marah padaku?,0
Ryan est un guitariste compétent.,Ryan adalah gitaris yang terampil.,100
Ryan est un guitariste compétent.,Ryan yang terampil adalah really gitaris,50
Ryan est un guitariste compétent.,Apakah Anda akan bebas akhir pekan ini?,0
Ryan travaille actuellement à son nouveau travail.,Ryan saat ini bekerja di pekerjaan barunya.,100
Ryan travaille actuellement à son nouveau travail.,di ini pekerjaan bekerja,50
Ryan travaille actuellement à son nouveau travail.,Dia sedang belajar untuk ujiannya.,0
Ryan travaille à son nouveau travail.,Ryan bekerja di pekerjaan barunya.,100
Ryan travaille à son nouveau travail.,Ryan di pekfrjaan in fact baruxya.,50
Ryan travaille à son nouveau travail.,Anak-anak tidur jam 9 malam.,0
Ryan vient de décrocher un nouveau job.,Ryan baru saja mendapatkan pekerjaan baru.,100
Ryan vient de décrocher un nouveau job.,baru mendapatkan Ryan pekerjaan saja baru.,50
Ryan vient de décrocher un nouveau job.,Apakah Anda merekomendasikan restoran?,0
Ryan a quitté le travail plus tôt aujourd'hui.,Ryan pulang kerja lebih awal hari ini.,100
Ryan a quitté le travail plus tôt aujourd'hui.,pulang lebih awal ini.,50
Ryan a quitté le travail plus tôt aujourd'hui.,Apakah Anda tersedia sekarang?,0
Ryan est récemment devenu obsédé par le sport.,Ryan akhir-akhir ini terobsesi untuk berolahraga.,100
Ryan est récemment devenu obsédé par le sport.,"Ryan akhir-akhir ini terobsesi terobsesi untuk berolahraga,",50
Ryan est récemment devenu obsédé par le sport.,Apakah Anda memiliki menu bahasa Inggris di sini?,0
Ryan a été promu à l'entreprise.,Ryan dipromosikan di perusahaan.,100
Ryan a été promu à l'entreprise.,Ryan dipromosrkan di perusahaan.,50
Ryan a été promu à l'entreprise.,Bisakah kau menghubungi hotel dulu?,0
L'anniversaire de Sarah est demain.,Ulang tahun Sarah besok.,100
L'anniversaire de Sarah est demain.,tahwn Sarah,50
L'anniversaire de Sarah est demain.,Kau suka makanan itu?,0
Sarah part en voyage demain.,Sarah akan melakukan perjalanan besok.,100
Sarah part en voyage demain.,Sarah actually akan melakukan perjalanan besok.,50
Sarah part en voyage demain.,Apakah Anda ingin bertemu langsung dengan pelanggan ini?,0
Sarah pratique le piano tous les jours.,Sarah berlatih piano setiap hari.,100
Sarah pratique le piano tous les jours.,"Sarah berlatih piano setiap hari,",50
Sarah pratique le piano tous les jours.,Kau lihat pesanku?,0
Sarah vient de décrocher un nouveau job.,Sarah baru saja mendapat pekerjaan baru.,100
Sarah vient de décrocher un nouveau job.,baru. baru mendapat pekerjaan saja,50
Sarah vient de décrocher un nouveau job.,Haruskah kita mengumpulkan umpan balik pengguna?,0
Sarah est actuellement en vacances.,Sarah sedang berlibur.,100
Sarah est actuellement en vacances.,sedang sedang Sarah berlibur.,50
Sarah est actuellement en vacances.,Dia sedang berlatih piano.,0
Sophia a organisé une exposition de peinture.,Sophia mengadakan pameran lukisan.,100
Sophia a organisé une exposition de peinture.,Sophia Sophia mengadakan pameran lukisan.,50
Sophia a organisé une exposition de peinture.,Apa jadwal untuk minggu ini?,0
Sophia joue du piano tous les jours.,Sophia bermain piano setiap hari.,100
Sophia joue du piano tous les jours.,Sophia bermain bermain piano setiap hari.,50
Sophia joue du piano tous les jours.,Apakah Anda tertarik untuk mengunjungi negara yang dingin?,0
Sophia est en train de planifier son voyage.,Sophia saat ini sedang membuat rencana perjalanan.,100
Sophia est en train de planifier son voyage.,Sophia ini sort of,50
Sophia est en train de planifier son voyage.,Besok adalah tenggat waktu untuk formulir.,0
Sophia semblait de bonne humeur aujourd'hui.,Sophia tampaknya sedang dalam suasana hati yang besar hari ini.,100
Sophia semblait de bonne humeur aujourd'hui.,tampaknya bgsar dalam yang ini haxi suasana Sophia,50
Sophia semblait de bonne humeur aujourd'hui.,Kau percaya padaku?,0
